rank,artist_name,last_week,peak_position,wks_on_rank,date
1, BTS ,1,1,27, 4/29/2017
2, Ariana Grande ,2,1,230, 4/29/2017
3, Harry Styles ,3,3,2, 4/29/2017
4, Justin Bieber ,4,1,334, 4/29/2017
5, Chris Brown ,12,3,304, 4/29/2017
6, Selena Gomez ,17,1,330, 4/29/2017
7, Katy Perry ,15,1,330, 4/29/2017
8, Shawn Mendes ,5,1,121, 4/29/2017
9, Kendrick Lamar ,42,9,13, 4/29/2017
10, Demi Lovato ,16,2,323, 4/29/2017
11, Ed Sheeran ,8,3,119, 4/29/2017
12, Zendaya ,120,5,136, 4/29/2017
13, Maluma ,11,5,26, 4/29/2017
14, Lali ,10,2,44, 4/29/2017
15, Rihanna ,30,1,323, 4/29/2017
16, The Chainsmokers ,23,4,36, 4/29/2017
17, J Balvin ,22,17,24, 4/29/2017
18, Shakira ,13,1,328, 4/29/2017
19, Martin Garrix ,24,9,144, 4/29/2017
20, Lucy Hale ,120,7,140, 4/29/2017
21, Lana Del Rey ,120,14,110, 4/29/2017
22, Snoop Dogg ,29,5,295, 4/29/2017
23, Coldplay ,19,9,175, 4/29/2017
24, Jennifer Lopez ,20,2,319, 4/29/2017
25, The Weeknd ,26,2,82, 4/29/2017
26, Liam Payne ,49,4,12, 4/29/2017
27, Drake ,31,2,309, 4/29/2017
28, Madison Beer ,48,24,6, 4/29/2017
29, Nicki Minaj ,6,2,329, 4/29/2017
30, Bruno Mars ,27,2,263, 4/29/2017
31, Fifth Harmony ,46,4,92, 4/29/2017
32, Lauren Jauregui ,14,4,19, 4/29/2017
33, Jacob Sartorius ,39,6,45, 4/29/2017
34, Chance The Rapper ,120,6,26, 4/29/2017
35, Nicky Jam ,25,20,16, 4/29/2017
36, Zayn ,18,2,62, 4/29/2017
37, Niall Horan ,9,1,28, 4/29/2017
38, Britney Spears ,41,2,285, 4/29/2017
39, DJ Khaled ,120,22,6, 4/29/2017
40, Wiz Khalifa ,28,3,318, 4/29/2017
41, Mario Bautista ,120,2,44, 4/29/2017
42, twenty one pilots ,120,13,51, 4/29/2017
43, CNCO ,33,33,9, 4/29/2017
44, Louis Tomlinson ,36,3,17, 4/29/2017
45, BLACKPINK ,40,19,10, 4/29/2017
46, Lady Gaga ,45,1,324, 4/29/2017
47, Panic! At The Disco ,120,22,8, 4/29/2017
48, Logic ,120,34,3, 4/29/2017
49, Luis Fonsi ,120,33,4, 4/29/2017
50, Halsey ,32,8,37, 4/29/2017
